date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,price
2014-01-22,2,3.0,1887,3368.8075420418486,1,0,3,2,6,1960,2006,47.752277153132034,-122.00342732337677,675089
2014-01-23,2,2.75,2033,2572.3630027745508,1,0,4,1,7,1969,2005,47.69310377078715,-122.11471239796916,757698
2014-01-24,2,1.5,1287,1606.5385056766845,1,0,2,4,10,1973,0,47.68279111568695,-122.33438770741625,506366
2014-01-25,5,3.75,1727,2413.7978281084183,2,0,0,3,6,2013,1990,47.64020718649948,-122.0177929174331,712303
2014-01-26,2,3.0,2055,2728.2914541060813,2,0,3,2,9,2014,2011,47.687945691991224,-122.1328891094217,822140
2014-01-27,4,1.5,1424,2701.935839061836,2,0,0,1,12,1966,2000,47.738564975959115,-122.37626470767745,555101
2014-01-28,4,3.75,2187,3007.936792281634,1,0,2,4,12,2010,1997,47.790711287890765,-122.13697267768616,904589
2014-01-29,4,2.75,1699,3365.1960557093635,2,0,0,1,8,1964,2005,47.64018620745463,-122.0467522373301,636096
2014-01-30,4,2.25,1854,2724.4838383549054,1,0,0,2,6,2000,2002,47.67209596089663,-122.16918325520399,707661
2014-01-31,2,1.25,1699,2286.33467100408,1,0,1,1,10,1976,0,47.63344164851763,-122.2583921447872,647045
2014-02-01,4,2.25,2926,5359.726265519115,1,0,0,4,6,2010,0,47.70054658629502,-122.07163614637176,1006369
2014-02-02,2,1.5,1993,3441.8436772585965,2,0,4,2,7,2007,1995,47.68897615121838,-122.08699519671767,751612
2014-02-03,5,1.0,1471,2351.476719122054,2,0,3,4,11,1980,0,47.50535013705809,-122.18232713830749,592696
2014-02-04,4,2.0,2411,3964.385217048503,2,0,1,1,6,1961,0,47.6623484677302,-122.33825529204165,808019
2014-02-05,3,1.25,1389,2465.9770160161397,2,0,3,3,12,1995,2005,47.526546068709706,-122.29960540579073,613984
2014-02-06,4,2.25,2104,2909.335020608842,1,0,3,3,12,1980,1992,47.50791508540166,-122.10460641112556,813164
2014-02-07,4,3.25,1020,2037.0084755023013,2,0,2,3,12,1981,1998,47.73735914862541,-122.07756713384202,543612
2014-02-08,2,3.75,1335,2643.0790971727642,1,0,2,3,9,1981,2002,47.577594958647786,-122.28829388878361,577993
2014-02-09,4,1.25,2098,3609.1066319646984,2,0,1,4,6,2002,2007,47.60219652318619,-122.25280596912529,767741
2014-02-10,3,2.75,2369,3220.972853000916,2,0,2,3,8,2010,2008,47.51922537628122,-122.36894724590009,901616
2014-02-11,2,2.0,2085,3636.620708375394,2,0,2,4,6,1995,1997,47.55385007814831,-122.1146152206534,766620
2014-02-12,2,3.5,1942,2442.5674481900473,1,0,2,2,11,1956,2007,47.72968144547733,-122.39856898215999,758761
2014-02-13,5,3.5,1849,2264.141181262828,1,0,3,3,12,1953,2014,47.64805924906978,-122.38138339151237,781380
2014-02-14,5,2.5,1260,1771.7443516193034,1,0,1,4,7,2001,2012,47.76420053876504,-122.39826237288636,545317
2014-02-15,4,1.5,1640,2574.961319241983,1,0,3,3,12,1980,0,47.61917263944005,-122.14187216666495,676661
2014-02-16,5,3.75,1769,3351.57924965394,1,0,4,3,6,1985,0,47.58061022072628,-122.23304514891979,720409
2014-02-17,5,1.75,2528,4504.226726695381,2,0,3,3,9,2003,0,47.60427994433759,-122.28098129546267,953994
2014-02-18,5,1.25,2171,3895.1326860201266,1,0,4,4,10,2003,1995,47.71383153805507,-122.03491959585716,885496
2014-02-19,2,3.75,1118,1722.1612383303586,1,0,0,1,6,1966,1997,47.66650170170034,-122.32287888212936,467196
2014-02-20,2,1.25,2162,3192.729163109227,1,0,0,3,6,1979,1990,47.77125736226573,-122.24425279584744,738231
2014-02-21,2,1.25,1807,2704.7736357705417,1,0,4,3,8,1971,1991,47.680650630816665,-122.0238752796289,658686
2014-02-22,5,2.5,1661,3305.5887402924736,2,0,4,2,9,1992,1998,47.64790546254445,-122.22915737486518,727968
2014-02-23,2,1.75,2305,2839.961348964617,1,0,3,1,11,1976,1993,47.73572581716602,-122.17812252574117,866423
2014-02-24,5,2.75,2515,4762.467370198367,2,0,4,4,10,1986,0,47.78426015522003,-122.36786525337222,951909
2014-02-25,2,3.25,2465,4099.14790570476,2,0,1,2,12,1995,2000,47.60675377337349,-122.08393344524262,950901
2014-02-26,2,3.25,1580,2450.409889855642,2,0,0,3,7,1984,2010,47.57496286304964,-122.2308964891647,595866
2014-02-27,3,2.0,1845,3284.480306772741,1,0,0,2,6,1953,0,47.68486521888824,-122.0797939501606,636421
2014-02-28,4,3.0,2165,3440.9106065475853,2,1,4,2,11,1975,2006,47.64966184634616,-122.2984809429776,929505
2014-03-01,5,1.25,2487,4722.162874487271,1,0,2,3,10,1968,2005,47.79675567245943,-122.23100849977544,912309
2014-03-02,3,1.0,1760,3380.188224527852,1,0,2,1,7,1994,2006,47.63870853524432,-122.08538042545399,662770
2014-03-03,2,1.0,1907,2931.7774460381434,1,0,4,1,11,1975,1997,47.5222994654081,-122.01044889318254,694432
2014-03-04,5,3.25,1446,2055.4343958415075,1,0,1,2,9,1971,1997,47.79321071823329,-122.3761497902451,584264
2014-03-05,2,1.25,1401,2345.1062482874404,1,0,2,3,9,2007,0,47.75307608367806,-122.07501752903244,568433
2014-03-06,4,3.75,2406,4643.316967643007,2,0,4,4,10,2012,2002,47.55347504318739,-122.27972437294916,1010437
2014-03-07,3,1.25,2678,3664.9226737257404,2,0,1,2,12,1977,0,47.77138157593386,-122.17970268764357,970443
2014-03-08,4,2.25,1963,3333.9067228280933,1,0,1,4,7,2014,2009,47.60220004624652,-122.28396309401971,797930
2014-03-09,3,3.5,2501,4264.825688361115,2,0,3,2,9,1993,2009,47.61313359536033,-122.15462181097281,957459
2014-03-10,2,3.75,2180,3894.54911109225,1,0,1,2,10,1992,1998,47.77191744470865,-122.25847886774241,836632
2014-03-11,4,1.75,1677,2188.9112063667317,2,0,2,3,9,1986,1995,47.659034669510596,-122.26655404360893,703852
2014-03-12,4,3.75,2180,3864.398738405562,2,0,2,3,9,1966,0,47.541328878819556,-122.38482467482564,823065
2014-03-13,2,3.5,2769,5336.488839778528,2,0,4,4,11,1989,2003,47.61071684780254,-122.34121583763849,1032470
2014-03-14,4,2.25,1982,2663.3055374246555,2,0,4,4,11,1987,0,47.71662923388036,-122.03316872045382,811685
2014-03-15,5,2.75,2782,3867.076423950582,2,0,1,1,9,2010,2010,47.5522552564204,-122.00068902845071,1068300
2014-03-16,3,1.75,690,1364.210091910985,1,0,0,3,8,1958,2012,47.6770693592219,-122.08779176965216,289731
2014-03-17,3,2.0,2410,3240.9235648238964,1,0,3,2,11,2010,2011,47.70858223988332,-122.28527495009061,949780
2014-03-18,3,1.75,2043,3848.00699660324,2,1,0,2,7,1965,1996,47.60315607266277,-122.23902194462256,762285
2014-03-19,5,1.25,1850,2948.5712275430915,1,0,1,1,10,1951,1999,47.708164206612494,-122.10419861803757,698776
2014-03-20,3,1.25,2045,2858.4700377235977,2,0,1,3,10,1992,2011,47.765262205548794,-122.01259457724672,780520
2014-03-21,2,3.0,1006,1907.9795205441171,1,0,0,2,12,1991,1992,47.64163502326997,-122.21781153170825,474513
2014-03-22,4,2.75,1890,2941.30154556403,2,0,3,1,7,2006,2008,47.61487279845394,-122.06819103388464,762126
2014-03-23,5,1.75,2178,3510.617757487092,2,0,0,1,7,1979,2005,47.57534752040748,-122.00997243096052,781585
2014-03-24,3,2.75,2738,4072.464772333247,2,0,4,2,7,1962,0,47.68126164395899,-122.05061073157759,967024
2014-03-25,2,1.5,1740,2913.387585197419,1,0,2,2,12,1968,1999,47.763955614411614,-122.30914010129148,660578
2014-03-26,4,2.75,1595,2122.656461418489,1,0,4,4,7,1956,1994,47.59739838015556,-122.39678725444976,618608
2014-03-27,4,2.25,1749,2646.001286083144,2,0,2,3,6,1958,2005,47.61887065736119,-122.20316731784463,638170
2014-03-28,5,1.25,2457,4853.876860782241,2,0,1,4,12,2003,2004,47.621987655264995,-122.1874556673219,956684
2014-03-29,5,3.5,2164,3043.680598692192,1,0,3,1,10,2010,1993,47.66824370253325,-122.31949985417954,868389
2014-03-30,5,2.5,1735,2993.5504903833134,1,0,0,2,6,1951,2011,47.56852268847023,-122.28613024322128,621857
2014-03-31,2,3.75,2256,3294.1030279127294,1,0,3,4,12,1999,2012,47.74666334659231,-122.09393873566059,892885
2014-04-01,2,3.0,2048,3724.8583691249264,1,0,0,1,9,1980,2009,47.58868068325127,-122.21186109651475,746171
2014-04-02,5,1.5,2484,3240.8721385795043,1,0,4,3,9,1982,2003,47.711608807269,-122.2730583665599,921496
2014-04-03,3,1.5,1648,3256.212065831553,2,0,4,2,10,1960,2009,47.653964722533864,-122.15094958905523,660791
2014-04-04,4,1.75,1836,2869.7260783842894,1,0,0,4,9,1982,1994,47.67576928100583,-122.13889609760955,690907
2014-04-05,4,2.75,1803,2504.07918833094,2,0,3,3,7,1956,2006,47.55388262164819,-122.09224168926369,702382
2014-04-06,2,1.5,1268,1596.1551004915648,2,0,0,4,12,1980,0,47.72050695945345,-122.33731628169484,530934
2014-04-07,4,1.0,2148,2869.31198410243,1,0,1,1,6,1997,0,47.556586155712786,-122.10339309906921,730659
2014-04-08,3,2.5,2130,3441.694808339454,1,0,4,3,7,1996,2005,47.53404209128823,-122.16022864315583,798300
2014-04-09,4,2.75,2002,2942.144287372348,2,0,1,4,9,2002,2000,47.66400384996663,-122.37697125387889,790387
2014-04-10,2,1.75,1882,3506.366795672857,1,1,4,3,11,1968,2000,47.7127891410753,-122.08902174869864,782991
2014-04-11,2,1.5,1292,1995.7653444568425,2,0,4,1,6,1955,1990,47.51501075093043,-122.24676788746673,477664
2014-04-12,3,1.0,1789,2502.7598669274157,1,0,2,3,7,1998,2010,47.520818594482165,-122.26784762626815,700779
2014-04-13,3,1.5,1828,3096.1128284097335,1,0,1,4,12,1999,2005,47.74080374881177,-122.22076993936734,752193
2014-04-14,4,3.5,1598,2821.143994066354,1,0,1,1,10,1961,0,47.742709809852194,-122.26152996907756,605005
2014-04-15,4,3.75,1919,2559.2427370095384,2,0,2,2,7,1972,2007,47.573591415117725,-122.26468576311603,750858
2014-04-16,2,1.0,2202,2937.6780114135004,1,0,3,4,11,2003,1995,47.68456846084006,-122.07676893291975,842684
2014-04-17,3,3.25,2943,3617.9392075723335,2,0,1,4,9,2008,2010,47.632954022543395,-122.35019789825373,1104527
2014-04-18,3,2.0,2087,3733.8968043535933,1,1,0,1,6,1985,0,47.68980881242105,-122.01175997285702,744702
2014-04-19,3,3.5,2128,3683.6608278233607,2,1,2,1,10,1952,0,47.758863785229764,-122.17802734225026,884097
2014-04-20,4,3.5,1962,3099.3806225769076,1,0,1,2,6,2007,1999,47.52395692737468,-122.32683040063148,746241
2014-04-21,3,1.5,1040,1950.3498135423722,2,0,3,4,10,2004,2004,47.733395327796536,-122.34751380682734,516070
2014-04-22,2,3.0,1986,3663.2487390070446,2,0,1,1,12,2006,0,47.64790873135631,-122.163396187146,784672
2014-04-23,2,3.75,2030,3386.615487780325,2,0,4,2,6,1966,0,47.6692380831286,-122.14680022246124,743726
2014-04-24,4,3.5,3231,6121.507605870671,2,0,0,2,9,1988,2004,47.696179408005136,-122.37878969158808,1116011
2014-04-25,5,3.5,1903,2596.9726581599757,2,0,2,1,12,2004,2008,47.77678694473873,-122.30279923434848,851337
2014-04-26,4,2.0,2150,2772.5017453640917,2,0,4,4,12,1994,2007,47.51701598606552,-122.08181523151141,873607
2014-04-27,5,1.25,1982,2806.114984021339,1,0,3,3,10,1950,0,47.50884290563734,-122.3801501489026,734316
2014-04-28,3,1.25,1415,1762.6223210931043,2,0,4,3,8,1970,1997,47.55347853444663,-122.05796453443759,619499
2014-04-29,4,2.75,2571,4177.709485192522,2,0,4,2,6,1970,0,47.79593431780802,-122.13673500938947,941738
2014-04-30,2,3.75,2375,4629.550815360427,2,0,3,3,6,2001,2013,47.71452291021333,-122.22623069625472,876382
2014-05-01,3,2.5,2395,2949.3822239208644,1,0,4,3,7,1992,0,47.684392335716346,-122.26142686041163,870794
2014-05-02,2,3.0,1545,2004.927853716393,1,0,2,1,10,2001,2001,47.51411171602442,-122.39230041446045,659696
2014-05-03,3,2.5,2701,4218.311660314847,1,0,1,2,11,1993,1995,47.763733067167884,-122.06991402169926,1011214
2014-05-04,4,1.75,1299,2529.282918214999,2,0,4,4,8,1981,2013,47.743827055989144,-122.34291125841258,601998
2014-05-05,5,1.0,2293,3331.556758969351,1,0,2,2,9,1959,2007,47.69944001316012,-122.27618320325517,794738
2014-05-06,3,1.0,3095,4969.91338631246,1,0,1,1,7,2013,0,47.60173924464541,-122.17235720785489,1076040
2014-05-07,5,3.75,1504,1854.8204640094318,2,0,1,3,8,1977,0,47.521151486670476,-122.3016029599715,642203
2014-05-08,3,3.25,1716,2262.8455462807556,2,1,4,4,10,2002,1994,47.674011546370274,-122.20114381449912,779759
2014-05-09,2,2.25,2049,4076.084097554142,1,0,2,2,8,2000,2013,47.715908371438246,-122.07626286850451,766244
2014-05-10,2,2.0,1748,3447.221985096166,2,1,4,3,12,2002,1997,47.528272105143174,-122.2117848260839,763793
2014-05-11,3,1.5,1224,1473.637229330974,2,0,3,2,6,1953,0,47.69013029793955,-122.02040906235216,452682
2014-05-12,5,3.25,2034,3989.588137240695,2,0,1,4,12,1966,1994,47.58590982036615,-122.06099975184947,819591
2014-05-13,4,2.5,1468,2512.1824549705234,2,0,4,2,6,1996,1992,47.729273266365944,-122.26678430585464,655782
2014-05-14,4,3.25,2236,4235.732245237416,1,0,1,2,7,2005,0,47.66188475518055,-122.24001515016643,873277
2014-05-15,2,3.25,1540,2408.2395021409143,2,1,2,2,10,1972,2006,47.53871103634313,-122.23066930919099,662164
2014-05-16,4,1.5,2774,4473.010706623072,1,0,0,3,10,1967,2013,47.65795583431997,-122.1495282188302,995857
2014-05-17,2,1.75,1608,2558.4522408425023,1,0,4,4,8,1950,2005,47.618721059010014,-122.28528170832459,564663
2014-05-18,4,3.25,1838,3186.157204295792,1,0,4,4,7,1984,2009,47.5541067904845,-122.012300344471,727451
2014-05-19,3,3.25,2406,3156.0007351549507,1,0,1,3,10,2013,1995,47.75245471721863,-122.1565263117586,922513
2014-05-20,2,3.5,1384,1693.9867587070291,2,0,2,3,11,2007,0,47.50330853454974,-122.24023933650355,629735
2014-05-21,2,3.75,2113,3056.124773265749,2,0,3,3,11,2008,2008,47.59363848306343,-122.14199607380337,870280
2014-05-22,3,1.25,2653,4679.214450832259,2,0,2,1,12,1950,2001,47.503778511450825,-122.24183799578812,951963
2014-05-23,2,2.25,1196,1628.333382991237,1,0,4,2,6,1952,1996,47.528802083951845,-122.07288172760823,465890
2014-05-24,4,1.75,2092,3637.4565204125815,1,0,3,2,8,1986,2008,47.589128865751924,-122.17286361577932,814041
2014-05-25,4,2.25,2129,4206.754196929903,1,0,2,4,9,1978,2009,47.51628135561681,-122.38321179863757,819286
2014-05-26,2,3.75,2390,3047.538168589368,2,0,0,2,6,1982,2006,47.67898915970714,-122.32929725303062,839458
2014-05-27,4,2.75,1381,2400.2908202151193,1,0,1,1,7,2010,2014,47.52605887239586,-122.05400241078819,607397
2014-05-28,5,1.5,1339,2082.1452349190567,2,0,2,3,10,1953,1995,47.710514090219824,-122.17484006945729,598568
2014-05-29,2,1.0,2260,4281.60119591453,2,0,2,4,6,1963,0,47.515792633788145,-122.01986260939444,742534
2014-05-30,3,3.75,2148,2882.0141981863876,2,0,0,4,9,1982,1995,47.51779266844033,-122.37103107485574,846156
2014-05-31,5,1.5,2125,3727.4641187844795,2,0,4,2,9,1971,0,47.59159776970998,-122.28189574796562,799330
2014-06-01,2,3.0,2173,4064.5796195242747,1,1,1,4,11,1997,1997,47.76897145749078,-122.32258265070418,917106
2014-06-02,3,1.25,1659,3244.491992085924,2,0,2,3,7,1952,1999,47.692417974616994,-122.1784638831085,587531
2014-06-03,4,1.0,2116,3695.8022622887124,1,0,3,4,6,1972,0,47.731039387578676,-122.24688286756803,762113
2014-06-04,3,3.75,2146,3428.749634849668,2,0,2,3,8,1970,1996,47.54246563284313,-122.33709058636944,813642
2014-06-05,5,2.75,1642,2782.0041347283145,1,0,1,1,6,1992,2005,47.75023762997417,-122.14289923441618,615144
2014-06-06,4,1.75,2932,5556.503531593282,1,0,2,1,11,1975,1994,47.50244387445827,-122.18548065368113,1094161
2014-06-07,2,2.75,2236,3703.9067147875385,2,1,0,3,12,1990,1990,47.5639172052199,-122.29010549948148,884140
2014-06-08,4,1.75,1404,1718.9307454514872,2,0,2,2,9,1987,1996,47.684827696344996,-122.20809145688705,569058
2014-06-09,2,1.5,2328,4527.398850512195,2,0,2,4,7,1960,2005,47.612573922578214,-122.10170467398352,788111
2014-06-10,2,1.75,1512,2648.4515580477764,1,0,3,2,7,1978,2014,47.795258017515565,-122.31789133017975,633474
2014-06-11,3,1.5,2393,4166.717225731961,2,0,0,4,8,2009,1997,47.5091017740455,-122.28283770131931,844325
2014-06-12,3,2.25,2579,3539.78097442697,2,0,0,1,7,2014,0,47.79957945038096,-122.26155560516236,925014
2014-06-13,3,2.75,1589,2744.3752097597535,1,0,2,1,11,2010,2010,47.68708834985839,-122.1013094251196,670486
2014-06-14,5,1.75,2481,3758.9420723423736,2,0,3,1,11,1968,2004,47.667612098378825,-122.06123096017964,919515
2014-06-15,5,1.0,2206,3796.495957882825,1,0,2,4,11,1995,2012,47.51785373276919,-122.24944460142336,824811
2014-06-16,3,2.25,2411,3098.7966368580524,2,0,2,1,7,1998,1995,47.581998662999766,-122.28135165526643,891353
2014-06-17,5,3.75,2948,5089.062366375801,1,0,1,1,7,1971,2011,47.777398806487476,-122.04422129665933,1043425
2014-06-18,4,3.75,1877,3753.119650617233,1,0,1,1,11,2006,2008,47.60627380095677,-122.00025402712293,767722
2014-06-19,4,2.25,1623,2010.198511256546,2,0,3,1,7,1963,1997,47.69849596014017,-122.13185854413528,651114
2014-06-20,5,1.5,1555,3081.604685171319,1,0,4,2,7,1993,0,47.799848905125614,-122.00400775400433,656574
2014-06-21,5,1.75,1592,2428.637978776648,2,0,1,1,9,1965,2014,47.57892091415006,-122.13601348887924,636994
2014-06-22,4,3.0,1961,3719.238012889092,2,0,4,1,6,1961,1999,47.67282426370435,-122.10661589119687,767713
2014-06-23,2,3.75,2170,3962.221200325163,1,1,0,2,10,2004,1997,47.70893133781066,-122.2445375993826,879269
2014-06-24,4,2.0,2138,3535.4246127915962,2,0,1,2,7,2000,1993,47.549388173969625,-122.22681298120038,807847
2014-06-25,4,3.0,2413,4321.10235353876,1,0,1,4,10,1988,2001,47.54460176910885,-122.34234573440425,904997
2014-06-26,5,2.75,2006,3817.041772776403,1,0,3,3,12,1982,2010,47.63689237349745,-122.07089999409395,799903
2014-06-27,4,3.75,2726,4152.549213456573,1,0,4,1,10,1982,2011,47.615743756527785,-122.02757638764513,1045434
2014-06-28,5,3.0,1867,2728.8567301108533,1,0,1,1,9,1978,2007,47.71426463105719,-122.15062474652235,741273
2014-06-29,5,3.25,3360,5826.491020394916,1,0,1,1,7,1980,2003,47.52085263143458,-122.26254107662184,1171146
2014-06-30,3,1.25,2312,4268.591854214552,1,0,3,4,11,1980,2014,47.791649987122206,-122.33839346985026,874827
2014-07-01,4,1.75,1571,2843.239957387251,1,0,3,1,10,1995,2010,47.50428309450575,-122.29393750811788,695788
2014-07-02,2,1.5,1464,2691.199345543233,1,0,4,3,7,2001,2003,47.68039504730084,-122.29783583165927,593611
2014-07-03,3,3.25,2241,3470.1137667966264,2,0,0,2,8,1959,1994,47.668789778760214,-122.15458884633458,780906
2014-07-04,5,2.75,1888,3500.8568001107524,2,1,0,4,12,1990,1990,47.540414719260916,-122.02198501385456,822694
2014-07-05,5,2.25,2357,3055.066194806819,1,0,2,2,11,1952,2005,47.545274794814055,-122.38069124521681,875113
2014-07-06,2,2.5,2236,3657.1820984323676,2,0,1,1,8,2008,1996,47.73780324633839,-122.39959108016222,855971
2014-07-07,5,2.75,1963,2364.6434004462503,2,0,4,1,8,2001,1994,47.7662687375238,-122.15992722227428,813283
2014-07-08,4,1.5,1576,2300.437814338261,2,0,1,1,10,1983,2008,47.58490508976513,-122.28637581516811,615336
2014-07-09,3,1.75,1242,1854.516181048221,2,1,4,3,8,1998,0,47.631389189188766,-122.04778066306442,612959
2014-07-10,5,3.5,1776,2694.08216023843,2,0,4,3,9,1977,0,47.606498512311504,-122.26909987683767,755202
2014-07-11,5,3.25,2428,4264.475502274388,2,0,4,4,9,1962,1995,47.521764103896,-122.28410495978845,931292
2014-07-12,2,2.25,2107,3183.3535355012946,1,0,1,2,10,2010,1993,47.70196127380474,-122.29219575151268,829814
2014-07-13,4,1.5,1377,2146.6808946809797,2,0,3,1,7,2009,1998,47.747557880441704,-122.34205886909271,616912
2014-07-14,5,2.5,2086,2899.6136456030777,2,0,1,1,6,1973,2010,47.59146380721736,-122.16738781028916,758751
2014-07-15,2,3.5,2192,3284.934341801211,2,0,4,1,7,2012,2008,47.797052738089214,-122.33271455906632,844096
2014-07-16,5,3.75,1558,2152.868863420792,2,0,2,1,7,2010,0,47.52275546718471,-122.23014753608389,673412
2014-07-17,2,2.25,2076,2612.7637901946314,1,0,0,3,7,1972,0,47.69853721414435,-122.21561117909775,724282
2014-07-18,2,3.75,2029,3414.3177567766525,1,0,4,2,7,1979,2005,47.634468404357825,-122.39180318124882,776842
2014-07-19,4,2.25,1428,2476.9663010692507,1,0,2,2,11,2009,2002,47.63398057033199,-122.39327708807154,626381
2014-07-20,5,1.0,2178,3692.9999788871523,1,0,3,4,6,1967,2014,47.63729368481006,-122.19191492449727,783653
2014-07-21,4,2.75,2280,3581.413135892244,2,0,4,3,11,2005,0,47.57760453214043,-122.12158610710834,879579
2014-07-22,2,1.25,2541,3821.2285339483383,1,0,2,1,8,2002,0,47.714668848199665,-122.02314300708784,891560
2014-07-23,3,1.25,2526,4775.824639054745,1,0,4,2,12,1956,0,47.71647295782551,-122.32835228633722,934573
2014-07-24,5,3.75,1311,2117.6129762508654,1,0,1,2,7,2001,1996,47.58471913303175,-122.35869647622557,603658
2014-07-25,3,3.75,1531,2424.1019637208947,1,0,2,3,12,1953,2012,47.750591938257536,-122.37916483722914,568354
2014-07-26,5,3.25,2257,2754.6993140201002,2,0,1,4,9,1983,1997,47.5950534830951,-122.22558336683483,864998
2014-07-27,4,2.75,2256,3323.084079299687,1,0,1,4,10,1982,1991,47.71752793719596,-122.15074105306562,867035
2014-07-28,4,2.5,2257,3394.8812092797434,2,0,2,1,10,1987,2010,47.53629993025362,-122.0637786572995,848078
2014-07-29,4,3.75,3926,5963.822590240985,1,0,0,4,11,1975,0,47.55061049284112,-122.12694204708275,1346610
2014-07-30,4,2.75,2285,3802.5550909475633,2,0,2,2,11,1950,2010,47.594738693352475,-122.31665568437006,880904
2014-07-31,4,3.75,2567,4176.206189958318,2,0,0,4,9,1953,1998,47.67816213030036,-122.21529185344149,909666
2014-08-01,3,2.25,2477,4177.02473187949,1,0,4,1,7,1988,2003,47.693653445643605,-122.03586146147654,941822
2014-08-02,4,1.5,2325,4212.682866468359,1,0,4,2,12,2003,2005,47.61890685159024,-122.26930357500906,913176
2014-08-03,2,1.0,1842,3408.415784572035,1,0,2,4,12,1982,1998,47.523351745933155,-122.20050785396323,742797
2014-08-04,2,3.0,2379,4221.531838674264,1,0,4,4,6,1982,2002,47.61209039562782,-122.01657386614252,866371
2014-08-05,3,2.5,1613,3168.607777260248,2,0,3,3,8,1969,1992,47.70663025478775,-122.10611679777053,622833
2014-08-06,5,2.5,1881,2284.6363904113887,2,0,1,1,10,1965,0,47.70129863833909,-122.10090384574332,755064
2014-08-07,2,1.5,1757,2383.5855366767923,1,0,1,4,8,1970,0,47.548058923961634,-122.29906639823471,600470
2014-08-08,5,1.25,2040,2460.3426119643277,1,0,0,3,6,1994,2002,47.50233519108069,-122.23412075267795,723830
2014-08-09,3,3.0,3157,5423.662138068866,2,0,4,2,11,2011,1999,47.72589448518883,-122.36706313476131,1202898
2014-08-10,5,1.5,1066,2045.040452144549,1,0,0,3,12,1980,2001,47.53191044991557,-122.15738965317979,498916
2014-08-11,5,3.25,2343,3267.983216702615,2,0,1,3,10,1991,1996,47.52470474318928,-122.35850793418301,918129
2014-08-12,5,1.0,1193,2316.361769553595,1,0,1,4,8,1961,0,47.50081036505025,-122.06563616711762,461533
2014-08-13,5,1.75,1764,2201.849341176628,2,0,4,4,11,2014,1994,47.62978039778708,-122.07417848519201,755462
2014-08-14,3,2.25,2544,4954.564201754582,2,0,3,4,6,1952,1993,47.65097917027024,-122.18655795955108,865904
2014-08-15,2,1.0,2032,3009.9978403767495,2,1,3,3,8,1958,2002,47.69129921384457,-122.3435335867212,799007
2014-08-16,4,1.25,1461,1871.7406642914443,2,0,4,2,12,2000,0,47.58881915221377,-122.38976840672194,630310
2014-08-17,5,3.0,1642,2608.641142867157,2,0,4,1,7,1965,0,47.71312741491603,-122.08131653298297,695489
2014-08-18,2,1.0,2339,3287.2803135186145,1,0,0,3,11,1952,2007,47.550799557222085,-122.15994380671464,810017
